"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Laasqoray","4",2013,4,192049,50628,365040,42829,10935,83790,39370,0.000416001440196342,0,0
"Lughaye","4",2013,4,69142,46707,99025,15086,9991,22278,14174,0.0779563805769813,0,0
"Luuq","4",2013,4,84725,68420,97116,22114,17532,25840,17369,0.235136686594178,0,0
"Marka","4",2013,4,338478,194772,582198,82207,45888,142528,69388,0.187087642073968,0,0
"Owdweyne","4",2013,4,86375,56104,125942,16644,10395,24899,17707,0,0,0
"Qandala","4",2013,4,129852,48374,439434,32729,11919,113754,26620,0,0,0
"Qansax Dheere","4",2013,4,112417,59011,158066,34395,17768,49772,23045,0.0387969589923191,0,0
"Qardho","4",2013,4,154779,84065,250881,40820,21763,66878,31730,0.124382684293773,0,0
"Qoryooley","4",2013,4,258476,199865,303008,62806,47528,75207,52988,0.0372425073594812,0,0
"Rab Dhuure","4",2013,4,54252,36982,80924,13183,8717,19806,11122,0,0,0
"Saakow","4",2013,4,103135,77708,137490,25050,18297,34033,21143,0.0884742719727005,0,0
"Sablaale","4",2013,4,56076,23030,80542,13615,5436,19836,11496,0.0319722452658546,0,0
"Sheikh","4",2013,4,74851,52459,100499,14568,9647,20598,15344,0,0,0
"Taleex","4",2013,4,74714,35110,137403,16745,7389,32301,15316,0,0,0
"Tayeeglow","4",2013,4,90065,72364,106956,21884,17028,26751,18463,0.0977190734278797,0,0
"Waajid","4",2013,4,88006,75937,96274,32733,28006,36215,18041,0.102419283276375,0,0
