"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Baydhaba","110",2022,2,581701,436300,745992,177876,133089,228164,119249,0.718577431813687,4.51381997783203,6.55322830179984
"Belet Weyne","110",2022,2,658270,650530,665527,180019,176765,182900,134945,0.801384286558192,0.088113029372663,0.300799651996332
"Belet Xaawo","110",2022,2,76386,63642,89368,17922,14887,21120,15659,0.531865056730122,1.37323627693164,35.5324886656062
"Berbera","110",2022,2,172257,119133,204897,38327,26148,46391,35313,0.0603215068734044,0.103153812907159,0.109221684254638
"Borama","110",2022,2,756269,352803,1788888,172161,79160,414454,155035,0.0390396973255817,0.411690405828049,0.671803889510317
"Bossaso","110",2022,2,447337,136598,709968,119352,36315,190841,91704,0.171798728002485,0.222217073666487,1.75582786375914
"Bu'aale","110",2022,2,100628,81061,119968,26300,20930,31785,20629,0.168833177977591,3.93432429318955,0
"Bulo Burto","110",2022,2,173569,103281,260814,45395,26588,69595,35582,0.565761552335573,1.03760428334405,0
"Burco","110",2022,2,506122,365336,574131,123337,88092,141082,103755,0.130737188837487,39.5500268121141,45.5758456396614
"Burtinle","110",2022,2,89349,55198,154125,24574,14975,43095,18317,0.0571243017208257,2.59504760702518,1.73003173801679
"Buuhoodle","110",2022,2,71497,58819,92124,18167,13892,24557,14657,0.625270918248643,79.3044536401147,44.8431427649143
"Buur Hakaba","110",2022,2,153450,51184,214503,45059,15086,63185,31457,0.0774400163623312,5.94994285328768,0
"Cabudwaaq","110",2022,2,116321,78106,150309,24772,16403,32724,23846,0.824629057238275,127.199876337377,127.145771753652
"Cadaado","110",2022,2,114386,67531,163987,28166,16549,40714,23449,0.78301070362226,0.133396190785798,0
"Cadale","110",2022,2,80499,56473,100277,21030,14480,26796,16502,0.146278061151482,2.36294454843163,2.02163033588039
"Caluula","110",2022,2,53368,48382,59028,12698,11324,14325,10940,0.0528141512110688,3.0692244910628,0
"Caynabo","110",2022,2,74621,55952,116829,19061,13968,30714,15297,0.29404960567115,3.06447601308906,4.49740229698718
"Ceel Afweyn","110",2022,2,98633,37717,138497,23659,8947,33836,20220,0.305600095373733,1.78289903292967,1.13000642932162
"Ceel Barde","110",2022,2,58120,40332,73834,14119,9711,18182,11915,0.436576055753501,12.3460523885618,12.0764879259294
"Ceel Buur","110",2022,2,113616,74519,162786,29044,18443,42993,23291,0.375433786982289,0,0
"Ceel Dheer","110",2022,2,116733,94720,130498,30478,24188,34780,23930,0.16737516959968,1.00980203850337,0.914044948645293
"Ceel Waaq","110",2022,2,50447,28896,70632,13168,7419,18807,10342,0.443736419487778,48.6337908337199,0
"Ceerigaabo","110",2022,2,248421,98948,356179,55430,21903,80581,50926,0.217088576174164,3.63898655789235,3.76309933271815
"Dhuusamarreeb","110",2022,2,236208,232737,241485,55999,54734,57510,48423,1,2.9806992797247,3.53958039467308
"Diinsoor","110",2022,2,67458,24401,119010,20898,7620,37002,13829,0.363941619756243,179.562708287475,30.0940089671201
"Doolow","110",2022,2,76519,45553,137605,19306,11523,34818,15686,0.792024799608585,0,14.0370974973791
"Eyl","110",2022,2,87972,49557,143543,25654,14296,42514,18034,0.0465458747300231,7.93943256045489,0
"Gaalkacyo","110",2022,2,481346,288522,786381,139222,83226,228041,98676,0.54087474123591,2.07733756936478,3.26069068079228
"Galdogob","110",2022,2,175232,51106,492810,47967,13685,139318,35923,0.079434035419013,12.9564053849655,8.22154067819866
"Garbahaarey","110",2022,2,126075,79903,197766,32980,20627,52934,25845,0.357217581301913,11.0171865831274,4.18304503072947
"Garoowe","110",2022,2,217405,97691,286691,72759,32572,96481,44568,0.0870325189446253,0.550073985566682,0.0495066587010014
"Gebiley","110",2022,2,161510,129447,185379,35820,28583,41426,33110,0.0652787062256838,0,0
"Hargeysa","110",2022,2,1183121,960669,1575548,252944,204297,339403,242540,0.062112978454255,0.0174170535096152,0.0809892988197108
"Hobyo","110",2022,2,108458,61733,160684,27232,15326,40903,22234,0.638091319268982,7.14455111920586,2.6741610827536
"Iskushuban","110",2022,2,84764,69495,119047,24073,19433,34244,17377,0.126143894582995,0.343765240417215,7.37867533895523
"Jalalaqsi","110",2022,2,109731,66590,172599,28693,17267,46118,22495,0.542319278931072,1.45299015392732,0
"Jamaame","110",2022,2,133511,67685,183623,34858,17479,48237,27370,0.314081806768076,5.77550036372291,3.1914987195091
"Jariiban","110",2022,2,107306,64058,144098,29888,17615,40686,21998,0.164272494925626,0.348817169949864,0.061555971167623
"Jilib","110",2022,2,173048,139889,198963,45207,35804,53077,35475,0.0871389403630858,1.29543354852726,0
"Jowhar","110",2022,2,363339,302633,445079,93885,71573,123899,74484,0.798118944643569,2.54782407335677,2.1757966644153
"Kismaayo","110",2022,2,343480,287555,417884,83757,69940,101959,70413,0.186430643707265,0.501822690275002,1.03906815868706
"Kurtunwaarey","110",2022,2,140223,31662,236825,36620,8502,62189,28746,0.181961419016813,77.4703771057739,2.2328931232503
"Laas Caanood","110",2022,2,204147,143065,329463,54874,38150,88989,41850,0.492172664597451,14.3618801959424,17.3806869308856
"Laasqoray","110",2022,2,224871,56934,431472,54098,13501,106870,46098,0.211317804126201,0.0938716107467428,0.620996809555376
"Lughaye","110",2022,2,80865,54173,116837,19018,12480,28123,16577,0.181839047204735,2.03651565221104,0.369033037648981
"Luuq","110",2022,2,143076,116245,162877,40050,32395,45804,29331,0.693986396108954,0,43.0307602088426
"Marka","110",2022,2,291444,142179,533785,76135,37241,140242,59746,0.643750762326384,19.5692298428472,0.931103634852452
"Owdweyne","110",2022,2,92243,52126,140272,19203,10685,29616,18910,0.108748962249553,0.0974019514338361,0
"Qandala","110",2022,2,146073,48988,515402,39663,12966,144168,29945,0.0571309787423191,7.50626242057543,1.91394739010688
"Qansax Dheere","110",2022,2,19562,-16821,69471,6404,-5481,22867,4010,0.444188027503059,1405.38199809325,40.7445641981893
"Qardho","110",2022,2,207449,115801,325660,58697,32806,92525,42527,0.501966611457258,4.21652861504208,8.53331814827539
"Qoryooley","110",2022,2,247481,164038,315205,64702,42722,82492,50734,0.381642249434914,5.34693088163149,0.450844447860181
"Rab Dhuure","110",2022,2,53655,34267,81391,14004,9041,21549,10999,0.422778527941402,0.482307775139954,0
"Saakow","110",2022,2,156619,113726,201966,40948,29665,53186,32107,0.495151935281484,13.6949934286212,13.3512966823431
"Sablaale","110",2022,2,41234,-1670,72177,10791,-436,18986,8453,0.522977461335475,1798.33486896869,0.989001761119355
"Sheikh","110",2022,2,87171,60340,117709,18289,11906,25955,17870,0.00135098236424007,14.5133738946456,0
"Taleex","110",2022,2,72848,20458,149314,17570,4835,38092,14934,0.12957096500826,7.8405369852496,0
"Tayeeglow","110",2022,2,97529,73160,120639,25466,18893,31982,19993,0.45809649364544,0.510811807373499,0
"Waajid","110",2022,2,86807,73234,101187,34286,28802,40334,17795,0.484818415846371,15.4676866482201,0
"Wanla Weyn","110",2022,2,215383,128490,310315,67996,40271,99423,44153,0.651747972633663,4.52446661791148,0.173625129806987
"Xarardheere","110",2022,2,71729,32074,156317,18748,8317,41125,14704,0.379983684010708,0.113123352295802,0
"Xudun","110",2022,2,67275,26865,171084,19003,7498,49445,13791,0.394585077689515,4.87090684323714,10.9099497167529
"Xudur","110",2022,2,119414,101786,131233,39714,33773,43873,24480,0.420654822463759,24.9813955849178,4.37574900728058
"Zeylac","110",2022,2,72603,55521,89899,17012,12750,21637,14884,0.0782542956091797,2.07472827911269,1.55604620933452
"Adan Yabaal","111",2022,3,86318,41657,139055,22555,10713,37003,17695,0.115193474122121,2.96268086045279,2.96268086045279
"Afgooye","111",2022,3,357569,191039,583826,86596,45303,147259,73302,0.556283029909754,7.58626995126766,0.773844864854021
"Afmadow","111",2022,3,205319,94048,323544,53586,24347,85352,42090,0.343365436748029,0.545484407691737,14.2055623645195
"Baardheere","111",2022,3,193725,159425,222122,53803,43806,62400,39714,0.73524575839868,5.96722695386886,20.0544807784139
"Badhaadhe","111",2022,3,81122,58263,121316,21222,14944,32482,16630,0.0693457369290561,6.88336858780666,6.64463904140875
"Baki","111",2022,3,76910,42705,113125,17899,9656,27112,15767,0.122310659222794,1.69393138204773,1.43909214758038
"Balcad","111",2022,3,200332,152337,233368,51082,38044,61793,41068,0.676739543342778,2.5124347301672,1.28685681301247
"Banadir","111",2022,3,2664144,2119572,3085239,688850,551169,797998,546150,0.507005468747523,0.00340971862015685,10.6053614815612
"Bandarbeyla","111",2022,3,25140,7793,49334,7081,2160,13909,5154,0.276186165646365,12.2063566976988,5.06563802954502
"Baraawe","111",2022,3,94151,80876,123900,24584,20763,33006,19301,0.210325296352826,1.16547007089568,0
"Baydhaba","111",2022,3,585195,439183,750213,178945,134006,229442,119965,0.71785944063844,1.79588098077155,7.46708407794487
"Belet Weyne","111",2022,3,659169,650936,666647,180265,176970,183203,135130,0.795746529456471,0.0986129724490891,0
"Belet Xaawo","111",2022,3,77268,64396,90049,18129,15055,21298,15840,0.535096952227414,3.91543142295902,11.5635741358056
"Berbera","111",2022,3,172538,119322,205240,38389,26189,46467,35370,0.0600452003224148,0.0545219076593465,0
"Borama","111",2022,3,757524,353372,1791846,172447,79289,415129,155292,0.0392032712347355,0.328800943270327,0.442760361108339
"Bossaso","111",2022,3,448328,137031,711429,119616,36436,191209,91907,0.172779583324312,0.752165260447614,1.76649600586452
"Bu'aale","111",2022,3,100263,80597,119746,26205,20822,31687,20554,0.169510705461527,6.4296862760901,0
"Bulo Burto","111",2022,3,173875,103444,261273,45475,26670,69707,35644,0.56152841268699,0.209673007311341,0
"Burco","111",2022,3,506851,365835,574994,123515,88201,141298,103904,0.136266348674699,6.64857883248831,6.57752531824798
"Burtinle","111",2022,3,89555,55348,154426,24631,15017,43184,18359,0.0574677592674797,0.190340186913739,0.913632897185949
"Buuhoodle","111",2022,3,74103,64373,92495,18829,15154,24602,15191,0.59779710751209,4.72537760020085,4.03453292180891
"Buur Hakaba","111",2022,3,152857,50321,214084,44885,14838,63055,31336,0.0780333870229745,8.98398325507696,0
"Cabudwaaq","111",2022,3,120176,92823,150958,25592,19452,32897,24636,0.781352952253748,0.0513079840157453,5.28472235362177
"Cadaado","111",2022,3,114647,67687,164414,28231,16570,40823,23503,0.777356395109957,1.49238903127868,2.79466481016516
"Cadale","111",2022,3,80576,56504,100392,21050,14490,26827,16518,0.148040009362031,3.14780988361576,2.26904629110636
"Caluula","111",2022,3,53260,48241,58972,12672,11296,14298,10918,0.0527255932006412,4.39635922026968,0
"Caynabo","111",2022,3,74763,56047,117057,19097,13992,30768,15326,0.295630081964979,3.41263255019737,3.31351044293022
"Ceel Afweyn","111",2022,3,98915,37993,138834,23727,9015,33918,20277,0.305740044256722,1.91188749561033,2.63665530440378
"Ceel Barde","111",2022,3,57780,39956,73529,14036,9619,18102,11845,0.461557440824064,33.3572145473877,24.8189253573839
"Ceel Buur","111",2022,3,113219,74054,162475,28943,18332,42908,23210,0.37936684326109,7.77757218767126,2.06636604248093
"Ceel Dheer","111",2022,3,116924,94870,130711,30528,24227,34837,23969,0.16827714298664,0.999464208554073,0.938627256729043
"Ceel Waaq","111",2022,3,49375,27788,69645,12888,7131,18535,10122,0.455288760889962,29.6548246707482,0
"Ceerigaabo","111",2022,3,248812,99078,356766,55517,21934,80713,51007,0.219223478809061,3.57886031450279,3.66808397885328
"Dhuusamarreeb","111",2022,3,238417,235142,243903,56523,55266,57997,48876,1,2.44970048723361,6.06552552147226
"Diinsoor","111",2022,3,60284,21596,109222,18675,6744,33649,12358,0.411878129014244,271.183655173168,7.09237299747634
"Doolow","111",2022,3,78287,47149,139581,19752,11924,35316,16049,0.79268022594008,1.10040484832819,27.2929360407715
"Eyl","111",2022,3,87869,49378,143540,25624,14248,42514,18013,0.046356703995077,3.46818428280822,0
"Gaalkacyo","111",2022,3,487793,294428,793533,141086,84913,230119,99998,0.544805409118567,1.56940387533407,15.4509894806119
"Galdogob","111",2022,3,175373,51023,493486,48006,13665,139506,35952,0.0861438175056508,9.12272535645605,7.2857964950882
"Garbahaarey","111",2022,3,126398,80119,198233,33064,20690,53055,25912,0.367988295809056,12.5595036459319,13.2272704093354
"Garoowe","111",2022,3,218011,98148,287405,72962,32713,96722,44692,0.0904112087229892,2.73024368498426,3.88155126298967
"Gebiley","111",2022,3,161734,129654,185680,35869,28621,41487,33155,0.0650106668008701,0.0188716836754768,0
"Hargeysa","111",2022,3,1184989,962104,1578108,253343,204620,339948,242923,0.0621476232228065,0.123466608818994,0.124336091979691
"Hobyo","111",2022,3,102462,56123,154747,25727,13954,39353,21005,0.676117561697669,70.2885756197082,0.107953579511148
"Iskushuban","111",2022,3,85311,70020,119669,24228,19568,34423,17489,0.130412603171265,0.780437795686766,6.10936461936047
"Jalalaqsi","111",2022,3,109880,66768,172844,28732,17309,46178,22525,0.539273316847778,0.741022874696979,0
"Jamaame","111",2022,3,129503,63277,179970,33811,16343,47274,26548,0.328980385756197,44.5159743242246,3.26509951957238
"Jariiban","111",2022,3,107452,64124,144310,29928,17638,40746,22028,0.163007106454483,0.338118964414707,0.174182496819698
"Jilib","111",2022,3,173117,139860,199127,45225,35807,53116,35489,0.0870140587630964,1.67170227015173,0
"Jowhar","111",2022,3,364020,303773,445662,94062,71843,124054,74624,0.793882907746819,3.00918980012283,2.19923964831407
"Kismaayo","111",2022,3,348044,291778,422878,84870,70940,103164,71349,0.196019223539011,0.457245956429259,13.2601327364485
"Kurtunwaarey","111",2022,3,141125,37205,236095,36855,10021,62021,28931,0.17303956479336,24.905477665173,1.44655430076664
"Laas Caanood","111",2022,3,204411,143197,330017,54945,38169,89097,41904,0.491605782700723,2.0613019036707,2.35804459417342
"Laasqoray","111",2022,3,225113,56890,432074,54156,13494,107014,46148,0.209978350297477,1.04684206756344,0
"Lughaye","111",2022,3,80981,54248,117017,19045,12496,28166,16601,0.182511856119568,1.69246667543398,1.32394570578303
"Luuq","111",2022,3,144921,117519,165187,40567,32743,46417,29709,0.695552950392305,0,14.6933126324465
"Marka","111",2022,3,294254,145995,534777,76870,38212,140480,60322,0.63303319840054,6.21008022377323,0.221083593471901
"Owdweyne","111",2022,3,92432,52219,140571,19242,10702,29680,18948,0.198451897411211,90.5002592360912,90.3909153868329
"Qandala","111",2022,3,146037,48744,516027,39653,12911,144369,29938,0.0570851380275689,5.31100755526534,0
"Qansax Dheere","111",2022,3,30143,1430,70272,9856,468,23266,6179,0,-232.434758683727,-10.5058944828973
"Qardho","111",2022,3,208046,116083,326560,58866,32880,92760,42649,0.504109867390787,3.70326196561674,6.24057938433765
"Qoryooley","111",2022,3,246657,162796,314915,64487,42380,82409,50565,0.382710288891102,8.90010545924923,1.50591137998704
"Rab Dhuure","111",2022,3,52209,32770,80040,13627,8659,21183,10703,0.435046008642632,33.5861704145826,0
"Saakow","111",2022,3,157288,114209,202963,41123,29813,53465,32244,0.502609676850593,8.18012282290319,12.6288460958578
"Sablaale","111",2022,3,43078,3565,72352,11273,902,19139,8831,0.106571056586452,17.4372556726142,0
"Sheikh","111",2022,3,87340,60445,117950,18325,11928,26003,17905,0.00134228659343258,0,0
"Taleex","111",2022,3,73032,20496,149678,17614,4848,38178,14972,0.128828833603644,0.608774839498712,0
"Tayeeglow","111",2022,3,97643,73209,120799,25496,18905,32021,20017,0.456250461348473,1.10551266801449,0
"Waajid","111",2022,3,86496,72860,101067,34163,28654,40244,17732,0.485366804243824,7.00397535555167,0
"Wanla Weyn","111",2022,3,215274,128600,310359,67962,40312,99410,44131,0.648056536933712,5.62020523822161,0.0255231845514151
"Xarardheere","111",2022,3,71861,32073,156669,18783,8311,41210,14732,0.379776110604328,2.67251638295555,0
"Xudun","111",2022,3,67368,27042,171320,19029,7549,49514,13810,0.391605321527061,2.19822876184933,0
"Xudur","111",2022,3,117672,99872,129853,39135,33156,43343,24123,0.43606986272597,30.082623479144,11.622248274446
"Zeylac","111",2022,3,72707,55600,90030,17036,12767,21670,14905,0.0784204442404701,0.920797418857225,0.676210604473274
"Adan Yabaal","112",2022,4,86407,41666,139235,22578,10717,37049,17713,0.117239669850691,3.47540544541909,2.57437440401414
"Afgooye","112",2022,4,359064,193280,585402,86958,45799,147581,73608,0.55168763145132,3.39211543344613,1.07711722294261
"Afmadow","112",2022,4,205883,94266,324482,53734,24408,85601,42206,0.343261095792512,0.480822385090852,3.36003261962298
"Baardheere","112",2022,4,194109,160821,221994,53910,44195,62370,39792,0.734457658541674,5.37926958148666,5.99434110340083
"Badhaadhe","112",2022,4,81238,58334,121507,21252,14963,32528,16654,0.0734257387290626,5.29765603646103,4.90033183372645
"Baki","112",2022,4,77031,42768,113306,17927,9671,27155,15791,0.121736240811811,0.434050045111253,0.314312101632286
"Balcad","112",2022,4,200795,152996,234158,51200,38219,61932,41163,0.673235704643059,2.24620779815679,1.36504238073927
"Banadir","112",2022,4,2676503,2126556,3102405,692046,553071,802581,548683,0.507574647178058,0.0784480458257914,5.56075955603591
"Bandarbeyla","112",2022,4,24978,7559,49259,7035,2095,13889,5120,0.284395130133082,21.8316151742183,5.14779562346624
"Baraawe","112",2022,4,94186,80876,123996,24593,20769,33032,19308,0.210413202841283,1.56799782931781,0
"Baydhaba","112",2022,4,585248,438451,751042,178961,133868,229677,119976,0.714460244302688,0.710696477803142,0.43762098386893
"Belet Weyne","112",2022,4,660262,651611,667903,180564,177242,183553,135354,0.790301902498437,0.0848184504924902,0.249911505915373
"Belet Xaawo","112",2022,4,77980,64987,91005,18296,15188,21536,15986,0.534327937164855,0.866366823324905,6.34904642167953
"Berbera","112",2022,4,172820,119513,205582,38452,26230,46544,35428,0.0597746298406558,0.0483847265590835,0
"Borama","112",2022,4,758726,353895,1794753,172721,79406,415792,155539,0.0399998059295998,1.05948384666761,1.06881028897983
"Bossaso","112",2022,4,449423,137576,712998,119908,36584,191605,92132,0.173893688588931,0.631495438296189,1.969145874096
"Bu'aale","112",2022,4,100376,80608,120008,26234,20833,31749,20577,0.169362348225064,1.6107630683441,0
"Bulo Burto","112",2022,4,174145,103578,261705,45545,26717,69811,35700,0.55758316360093,0.374288308897043,0
"Burco","112",2022,4,505789,364495,574057,123256,87893,141076,103687,0.135768046193619,3.74209921512832,0
"Burtinle","112",2022,4,89699,55437,154680,24671,15041,43255,18388,0.0569561696875365,0.0633454874886377,0
"Buuhoodle","112",2022,4,74754,65135,93117,18995,15340,24738,15325,0.597322658797106,3.69535986515294,7.71919616276393
"Buur Hakaba","112",2022,4,153027,50208,214436,44935,14814,63158,31370,0.0780731663990384,2.54452331127441,0
"Cabudwaaq","112",2022,4,120257,92975,151055,25610,19439,32933,24653,0.804146006524064,30.842379023479,30.7654653600788
"Cadaado","112",2022,4,114751,67802,164652,28256,16581,40878,23524,0.770533397841987,0.560230740960293,0.0759634902997008
"Cadale","112",2022,4,80685,56565,100538,21078,14508,26864,16540,0.148457038255499,1.4932443624196,1.00859487637114
"Caluula","112",2022,4,53231,48177,58995,12665,11289,14307,10912,0.052564113199317,2.94514871560763,0
"Caynabo","112",2022,4,74966,56209,117346,19149,14033,30837,15368,0.296923690647843,2.52756602092844,3.29007197137613
"Ceel Afweyn","112",2022,4,99083,38166,139054,23767,9058,33972,20312,0.304571488831799,1.47015914945947,0.784915478101244
"Ceel Barde","112",2022,4,57904,40037,73691,14066,9640,18137,11870,0.470285244181248,13.0682433212545,12.7974924237147
"Ceel Buur","112",2022,4,113398,74161,162746,28988,18362,42976,23247,0.379111361760284,0.305648780761551,0
"Ceel Dheer","112",2022,4,117122,95028,130929,30580,24268,34897,24010,0.168215738059353,0,0
"Ceel Waaq","112",2022,4,49325,27676,69649,12875,7102,18540,10112,0.455868145756071,6.24845937726708,0.572377958222938
"Ceerigaabo","112",2022,4,249213,99209,357362,55607,21963,80847,51089,0.221236602998043,3.43458468164324,3.56325788297281
"Dhuusamarreeb","112",2022,4,239673,236594,245231,56821,55596,58328,49133,1,0.196117265368434,0.417270777379647
"Diinsoor","112",2022,4,61647,27039,105533,19096,8324,32705,12638,0.382591220378635,137.194238500396,4.21202314205532
"Doolow","112",2022,4,78309,46986,139831,19758,11885,35369,16053,0.788436795857029,0.173796758524577,1.43382325782776
"Eyl","112",2022,4,87965,49395,143737,25652,14254,42573,18033,0.0460475712911822,0.927413289607474,0
"Gaalkacyo","112",2022,4,494330,300401,800871,142977,86625,232259,101338,0.547714128995169,0.407707090078071,14.4906843970765
"Galdogob","112",2022,4,175740,51166,494406,48106,13705,139758,36027,0.0895585116617384,3.85939295535842,4.33281182454905
"Garbahaarey","112",2022,4,126729,80346,198705,33150,20754,53177,25979,0.37101698808135,4.8979990887677,5.66416654399393
"Garoowe","112",2022,4,218028,97978,287522,72968,32655,96765,44696,0.0925511979141701,4.42189695715966,2.37553521395798
"Gebiley","112",2022,4,161962,129859,185979,35920,28658,41553,33202,0.0647464902268165,0,0
"Hargeysa","112",2022,4,1186933,963655,1580745,253759,204960,340500,243321,0.0621297038541898,0.0121528220504426,0.0755211084563216
"Hobyo","112",2022,4,98468,56950,149573,24724,14170,38059,20186,0.741799743223864,115.177210021261,49.5600923005138
"Iskushuban","112",2022,4,85580,70246,120010,24305,19624,34519,17544,0.133687157749942,2.73479144073588,4.7281505353167
"Jalalaqsi","112",2022,4,110084,66952,173150,28785,17354,46262,22567,0.536027084444677,0,0
"Jamaame","112",2022,4,129836,63163,180692,33898,16325,47440,26616,0.329395190214493,5.64240648183612,2.58981117699418
"Jariiban","112",2022,4,107548,64139,144472,29955,17647,40789,22047,0.161968772889964,0.900986010713033,0.225246502678258
"Jilib","112",2022,4,173348,140003,199457,45286,35847,53200,35536,0.0868119244776067,0.723055164963045,0
"Jowhar","112",2022,4,365027,305354,446494,94322,72200,124283,74831,0.788651502928429,1.84193267758204,1.78305811711138
"Kismaayo","112",2022,4,348529,291873,423849,84989,70935,103377,71448,0.195997996367731,0.514800951446414,1.60257245337274
"Kurtunwaarey","112",2022,4,142191,39226,236978,37133,10328,62277,29149,0.171026185155395,10.2305714980555,2.10766559577078
"Laas Caanood","112",2022,4,204286,142827,330201,54912,38088,89140,41879,0.490245480684344,2.18529019121175,0.408415885250739
"Laasqoray","112",2022,4,225666,57156,432983,54289,13559,107236,46262,0.210943160460831,1.83408210723941,2.99926368125033
"Lughaye","112",2022,4,81095,54313,117196,19072,12511,28208,16624,0.182053181645793,0.586107949093621,0.190825843890946
"Luuq","112",2022,4,145196,117206,165932,40644,32648,46612,29765,0.693833109055849,0,3.76484363961569
"Marka","112",2022,4,296395,147774,536838,77430,38660,141057,60761,0.626197202774834,1.06329487360689,0.0820926189181787
"Owdweyne","112",2022,4,94423,54123,142666,19657,11099,30126,19357,0.212660313749092,0.0710137700444396,21.3041310133319
"Qandala","112",2022,4,145960,48457,516614,39633,12844,144562,29922,0.0573810108376082,6.26680114694226,0.28622409084592
"Qansax Dheere","112",2022,4,38535,10271,80284,12597,3359,25730,7900,0.386180353040306,82.0898750442379,9.02310196767243
"Qardho","112",2022,4,208614,116336,327430,59027,32941,93007,42766,0.504806901950327,2.32483935941248,4.68289070967371
"Qoryooley","112",2022,4,246817,162530,315619,64529,42317,82584,50597,0.38083657604672,3.4588038073808,0.18604812655838
"Rab Dhuure","112",2022,4,52917,34462,80291,13812,9102,21244,10848,0.424342361509673,0.650084331416932,0
"Saakow","112",2022,4,157762,114505,203713,41247,29845,53658,32341,0.504216351836136,3.00506161356329,6.2266451337807
"Sablaale","112",2022,4,42263,2697,71581,11059,682,18942,8664,0.240137208970228,175.739239161942,0
"Sheikh","112",2022,4,87505,60551,118189,18359,11949,26051,17939,0.00133412019264165,0,0
"Taleex","112",2022,4,73197,20519,150026,17654,4857,38261,15005,0.128170160279946,0.920556042003521,0
"Tayeeglow","112",2022,4,97657,73160,120879,25499,18892,32040,20020,0.454958034676908,2.17910629033078,0
"Waajid","112",2022,4,85095,71352,99656,33609,28060,39675,17444,0.492359217333359,20.1080074258345,0
"Wanla Weyn","112",2022,4,216135,129821,311308,68234,40690,99739,44308,0.640925120349651,1.07048505993328,0.0405871112770912
"Xarardheere","112",2022,4,72123,32202,157148,18851,8341,41312,14785,0.378584613972589,0.20605704232348,0
"Xudun","112",2022,4,67534,27199,171656,19076,7598,49613,13844,0.388321552555534,0,0
"Xudur","112",2022,4,118019,100020,130497,39250,33224,43525,24194,0.435349403885326,4.01078459853989,3.2000940945797
"Zeylac","112",2022,4,72852,55719,90205,17071,12794,21713,14935,0.0791320148771098,0.91892848788579,1.26352667084296
"Adan Yabaal","113",2022,5,86561,41739,139481,22619,10737,37111,17745,0.11717437721489,0.613855325148699,0.613855325148699
"Afgooye","113",2022,5,360567,194550,587441,87322,46089,148003,73916,0.549155733796023,3.27678504966303,2.4232225050191
"Afmadow","113",2022,5,207238,95175,326203,54087,24671,86001,42484,0.345534726660881,0.0851378609437426,7.37861461512436
"Baardheere","113",2022,5,195229,162896,222643,54221,44733,62659,40022,0.734757017808456,5.21106827535357,9.61923835718845
"Badhaadhe","113",2022,5,81372,58422,121716,21287,14986,32580,16681,0.082409093478755,10.0225711857185,9.8506801231666
"Baki","113",2022,5,77152,42829,113485,17955,9685,27198,15816,0.121534433237457,0.792044149204483,0.657546086132023
"Balcad","113",2022,5,201431,153794,235077,51362,38423,62121,41293,0.668702143965705,0.720785328922982,0.807076530272916
"Banadir","113",2022,5,2689875,2134307,3120402,695504,555170,807377,551424,0.508294682720952,0.00863231088532674,5.77501598228359
"Bandarbeyla","113",2022,5,24925,7432,49295,7021,2059,13899,5110,0.290768690712462,15.9291903391364,5.80946941780268
"Baraawe","113",2022,5,94539,81193,124429,24685,20849,33139,19381,0.212449218971088,0.791836490356922,2.66838050175072
"Baydhaba","113",2022,5,585377,437663,751919,179000,133755,229932,120002,0.71137040071412,0.852412459641034,0.645873095703371
"Belet Weyne","113",2022,5,661216,652410,669010,180824,177455,183861,135549,0.785585995635725,0.69571939255831,0.651858822157894
"Belet Xaawo","113",2022,5,78731,65624,91845,18472,15340,21779,16140,0.533353622314341,0.268924226573676,6.30051045115469
"Berbera","113",2022,5,173108,119709,205936,38516,26273,46623,35487,0.0595082315585361,0.0181140664968151,0
"Borama","113",2022,5,759991,354482,1797729,173009,79537,416471,155798,0.0401604294212254,0.327737284571487,0.448776622623457
"Bossaso","113",2022,5,450777,138367,714830,120270,36796,192080,92409,0.175266200478345,0.253958394102337,2.40021652962574
"Bu'aale","113",2022,5,100143,80271,119886,26173,20747,31697,20529,0.169824560444706,5.13069396947916,0
"Bulo Burto","113",2022,5,174439,103735,262160,45622,26774,69926,35760,0.553654600813593,0.240648973657508,0
"Burco","113",2022,5,506548,365008,574930,123441,88018,141292,103842,0.152158721791073,17.4249195670035,17.3111374429652
"Burtinle","113",2022,5,89852,55535,154947,24713,15068,43330,18420,0.0566122052235913,0.101177867137734,0.151766800706601
"Buuhoodle","113",2022,5,75034,65451,93359,19066,15431,24785,15382,0.592834208917138,1.02224477124454,0.53156728104716
"Buur Hakaba","113",2022,5,153227,50127,214826,44994,14782,63276,31412,0.0780919584226577,2.20836247485484,0
"Cabudwaaq","113",2022,5,121118,96535,151092,25793,20181,32967,24829,0.78893584336284,0.397471397407504,0
"Cadaado","113",2022,5,114874,67863,164926,28286,16619,40944,23549,0.807641826015017,43.6993080905471,43.5665122769444
"Cadale","113",2022,5,80831,56663,100724,21116,14536,26911,16570,0.148232972667528,0.431465450983957,0.431465450983957
"Caluula","113",2022,5,53140,48050,58930,12643,11260,14302,10894,0.0524702926306551,4.14178396091449,0
"Caynabo","113",2022,5,75185,56372,117648,19205,14077,30911,15413,0.299044762430833,3.19564577348179,4.18108720142771
"Ceel Afweyn","113",2022,5,99211,38271,139241,23798,9086,34017,20338,0.304455037130874,2.61116642540393,1.50452922606608
