"","date","variable","spi3","district"
"224",2000-08-01,"spi",1.5364862303713,"adanyabaal"
"225",2000-09-01,"spi",0.686902286773916,"adanyabaal"
"226",2000-10-01,"spi",0.771148871022467,"adanyabaal"
"227",2000-11-01,"spi",-1.0920585475339,"adanyabaal"
"228",2000-12-01,"spi",-2.06843201362878,"adanyabaal"
"229",2001-01-01,"spi",1.18026616847069,"adanyabaal"
"230",2001-02-01,"spi",1.36756665648075,"adanyabaal"
"231",2001-03-01,"spi",1.87263719244761,"adanyabaal"
"232",2001-04-01,"spi",0.160004104022367,"adanyabaal"
"233",2001-05-01,"spi",-0.329486035846397,"adanyabaal"
"234",2001-06-01,"spi",0.429523732895614,"adanyabaal"
"235",2001-07-01,"spi",0.24231467955993,"adanyabaal"
"236",2001-08-01,"spi",0.616457997838397,"adanyabaal"
"237",2001-09-01,"spi",-0.885155557206102,"adanyabaal"
"238",2001-10-01,"spi",-2.43971854688742,"adanyabaal"
"239",2001-11-01,"spi",-0.0509707562608386,"adanyabaal"
"240",2001-12-01,"spi",-0.33997472477685,"adanyabaal"
"241",2002-01-01,"spi",0.459128415559301,"adanyabaal"
"242",2002-02-01,"spi",0.190341728907605,"adanyabaal"
"243",2002-03-01,"spi",-0.222226045874717,"adanyabaal"
"244",2002-04-01,"spi",0.773542485196786,"adanyabaal"
"245",2002-05-01,"spi",0.0782934392192033,"adanyabaal"
"246",2002-06-01,"spi",0.317194591799273,"adanyabaal"
"247",2002-07-01,"spi",0.19630715084985,"adanyabaal"
"248",2002-08-01,"spi",-0.311993127898967,"adanyabaal"
"249",2002-09-01,"spi",1.57481481343298,"adanyabaal"
"250",2002-10-01,"spi",0.518307210194021,"adanyabaal"
"251",2002-11-01,"spi",0.430947882923199,"adanyabaal"
"252",2002-12-01,"spi",-0.846615581818054,"adanyabaal"
"253",2003-01-01,"spi",-1.75712068945321,"adanyabaal"
"254",2003-02-01,"spi",0.150387913026949,"adanyabaal"
"255",2003-03-01,"spi",-0.258851560338996,"adanyabaal"
"256",2003-04-01,"spi",0.142598214197482,"adanyabaal"
"257",2003-05-01,"spi",-1.05681659918554,"adanyabaal"
"258",2003-06-01,"spi",-1.94326545976327,"adanyabaal"
"259",2003-07-01,"spi",0.913221750322422,"adanyabaal"
"260",2003-08-01,"spi",0.909498128728881,"adanyabaal"
"261",2003-09-01,"spi",1.50751628104942,"adanyabaal"
"262",2003-10-01,"spi",0.459316302826958,"adanyabaal"
"263",2003-11-01,"spi",-0.156263248716339,"adanyabaal"
"264",2003-12-01,"spi",0.604010686393915,"adanyabaal"
"265",2004-01-01,"spi",-0.244112642125311,"adanyabaal"
"266",2004-02-01,"spi",0.336342733124528,"adanyabaal"
"267",2004-03-01,"spi",-0.392361631367496,"adanyabaal"
"268",2004-04-01,"spi",-0.562002494724699,"adanyabaal"
"269",2004-05-01,"spi",0.39408821409998,"adanyabaal"
"270",2004-06-01,"spi",0.299655666802656,"adanyabaal"
"271",2004-07-01,"spi",0.322039186539758,"adanyabaal"
"272",2004-08-01,"spi",-1.34310298947469,"adanyabaal"
"273",2004-09-01,"spi",-2.30522003248934,"adanyabaal"
"274",2004-10-01,"spi",0.110242922038808,"adanyabaal"
"275",2004-11-01,"spi",0.191235551957947,"adanyabaal"
"276",2004-12-01,"spi",1.80958001234371,"adanyabaal"
"277",2005-01-01,"spi",2.7587830670776,"adanyabaal"
"278",2005-02-01,"spi",2.98448751729116,"adanyabaal"
"279",2005-03-01,"spi",2.36633092675962,"adanyabaal"
"280",2005-04-01,"spi",0.0734026413093926,"adanyabaal"
"281",2005-05-01,"spi",0.0884877479689681,"adanyabaal"
"282",2005-06-01,"spi",-0.590479257511807,"adanyabaal"
"283",2005-07-01,"spi",-1.19928437699794,"adanyabaal"
"284",2005-08-01,"spi",0.2198696686467,"adanyabaal"
"285",2005-09-01,"spi",-0.691289817180584,"adanyabaal"
"286",2005-10-01,"spi",0.431568802562049,"adanyabaal"
"287",2005-11-01,"spi",-0.185016051554524,"adanyabaal"
"288",2005-12-01,"spi",-0.872861615713932,"adanyabaal"
"289",2006-01-01,"spi",0.175191687018747,"adanyabaal"
"290",2006-02-01,"spi",0.147627291734384,"adanyabaal"
"291",2006-03-01,"spi",0.453745970962442,"adanyabaal"
"292",2006-04-01,"spi",-0.627471865410698,"adanyabaal"
"293",2006-05-01,"spi",-1.3302664507849,"adanyabaal"
"294",2006-06-01,"spi",-0.28063282201017,"adanyabaal"
"295",2006-07-01,"spi",-0.742062449722357,"adanyabaal"
"296",2006-08-01,"spi",-0.729990131737183,"adanyabaal"
"297",2006-09-01,"spi",-0.0743224191030167,"adanyabaal"
"298",2006-10-01,"spi",-0.689815365902993,"adanyabaal"
"299",2006-11-01,"spi",0.679723625385545,"adanyabaal"
"300",2006-12-01,"spi",-0.575828206835422,"adanyabaal"
"301",2007-01-01,"spi",0.279992393046994,"adanyabaal"
"302",2007-02-01,"spi",0.776851977508036,"adanyabaal"
"303",2007-03-01,"spi",0.251564141165103,"adanyabaal"
"304",2007-04-01,"spi",0.817150452398723,"adanyabaal"
"305",2007-05-01,"spi",-0.450285350525567,"adanyabaal"
"306",2007-06-01,"spi",0.0838501061228502,"adanyabaal"
"307",2007-07-01,"spi",-0.219224931921918,"adanyabaal"
"308",2007-08-01,"spi",-1.17953485234075,"adanyabaal"
"309",2007-09-01,"spi",-0.240593713080236,"adanyabaal"
"310",2007-10-01,"spi",-1.30760459723486,"adanyabaal"
"311",2007-11-01,"spi",-0.642939235603366,"adanyabaal"
"312",2007-12-01,"spi",0.410012388634845,"adanyabaal"
"313",2008-01-01,"spi",-0.20405863600207,"adanyabaal"
"314",2008-02-01,"spi",1.13756865643606,"adanyabaal"
"315",2008-03-01,"spi",-0.232308591829524,"adanyabaal"
"316",2008-04-01,"spi",0.181094333007008,"adanyabaal"
"317",2008-05-01,"spi",-1.70021591216737,"adanyabaal"
"318",2008-06-01,"spi",-2.87130953940882,"adanyabaal"
"319",2008-07-01,"spi",-0.34345332412743,"adanyabaal"
"320",2008-08-01,"spi",-0.386052948777825,"adanyabaal"
"321",2008-09-01,"spi",0.390166336281161,"adanyabaal"
"322",2008-10-01,"spi",1.13589204751849,"adanyabaal"
"323",2008-11-01,"spi",0.666456186689684,"adanyabaal"
"324",2008-12-01,"spi",0.759262172227457,"adanyabaal"
"325",2009-01-01,"spi",-0.713540454281041,"adanyabaal"
"326",2009-02-01,"spi",-0.271315988420586,"adanyabaal"
